EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,OBJECTID
113949,1635757,REGULAR,TACO BELL #36157,,2801 W BROADWAY,,LOUISVILLE,KY,40211,FOOD SERVICE,2021/11/12 00:00:00,98,A,TACO BELL #36157,,8077
113949,1634470,OTHER,TACO BELL #36157,,2801 W BROADWAY,,LOUISVILLE,KY,40211,FOOD SERVICE,2021/10/18 00:00:00,100,,TACO BELL #36157,,8078
113949,1675294,REGULAR,TACO BELL #36157,,2801 W BROADWAY,,LOUISVILLE,KY,40211,FOOD SERVICE,2022/05/27 00:00:00,98,A,TACO BELL #36157,,8079
113950,1638899,REGULAR,BEEF O'BRADY'S,,241 BLANKENBAKER PKWY,,LOUISVILLE,KY,40243,FOOD SERVICE,2021/11/29 00:00:00,96,A,BEEF O'BRADY'S,,8080
113950,1634474,OTHER,BEEF O'BRADY'S,,241 BLANKENBAKER PKWY,,LOUISVILLE,KY,40243,FOOD SERVICE,2021/10/20 00:00:00,96,,BEEF O'BRADY'S,,8081
113950,1683075,REGULAR,BEEF O'BRADY'S,,241 BLANKENBAKER PKWY,,LOUISVILLE,KY,40243,FOOD SERVICE,2022/06/28 00:00:00,98,A,BEEF O'BRADY'S,,8082
113951,1634564,OTHER,THE COFFEE BOXX,,1512 PORTLAND AVE STE 103,,LOUISVILLE,KY,40203,FOOD SERVICE,2021/10/21 00:00:00,98,,THE COFFEE BOXX,,8083
113951,1636522,REGULAR,THE COFFEE BOXX,,1512 PORTLAND AVE STE 103,,LOUISVILLE,KY,40203,FOOD SERVICE,2021/11/17 00:00:00,97,A,THE COFFEE BOXX,,8084
113951,1670207,FIELD,THE COFFEE BOXX,,1512 PORTLAND AVE STE 103,,LOUISVILLE,KY,40203,FOOD SERVICE,2022/03/30 00:00:00,,,THE COFFEE BOXX,,8085
113963,1638618,REGULAR,DOLLAR TREE,,4934 MANSLICK RD,,LOUISVILLE,KY,40214,PRE-PACKAGED RETAIL,2021/11/29 00:00:00,100,,DOLLAR TREE,,8086
113963,1634828,OTHER,DOLLAR TREE,,4934 MANSLICK RD,,LOUISVILLE,KY,40214,PRE-PACKAGED RETAIL,2021/10/22 00:00:00,100,,DOLLAR TREE,,8087
113965,1634852,FOLLOWUP,FARMBOY MARKET,,1800 W OAK ST,,LOUISVILLE,KY,40210,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/10/25 00:00:00,,,FARMBOY MARKET,,8088
113965,1634842,OTHER,FARMBOY MARKET,,1800 W OAK ST,,LOUISVILLE,KY,40210,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/10/25 00:00:00,99,,FARMBOY MARKET,,8089
113965,1634847,OTHER,FARMBOY MARKET,,1800 W OAK ST,,LOUISVILLE,KY,40210,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/10/25 00:00:00,100,,FARMBOY MARKET,,8090
113965,1634851,COMPLAINT,FARMBOY MARKET,,1800 W OAK ST,,LOUISVILLE,KY,40210,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/10/22 00:00:00,,,FARMBOY MARKET,,8091
113965,1640493,REGULAR,FARMBOY MARKET,,1800 W OAK ST,,LOUISVILLE,KY,40210,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/12/07 00:00:00,94,A,FARMBOY MARKET,,8092
113965,1640494,REGULAR,FARMBOY MARKET,,1800 W OAK ST,,LOUISVILLE,KY,40210,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/12/07 00:00:00,97,,FARMBOY MARKET,,8093
113965,1642228,FOLLOWUP,FARMBOY MARKET,,1800 W OAK ST,,LOUISVILLE,KY,40210,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/12/14 00:00:00,95,A,FARMBOY MARKET,,8094
113965,1642229,FOLLOWUP,FARMBOY MARKET,,1800 W OAK ST,,LOUISVILLE,KY,40210,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/12/14 00:00:00,100,,FARMBOY MARKET,,8095
113965,1673727,REGULAR,FARMBOY MARKET,,1800 W OAK ST,,LOUISVILLE,KY,40210,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/05/20 00:00:00,93,A,FARMBOY MARKET,,8096
113965,1673728,REGULAR,FARMBOY MARKET,,1800 W OAK ST,,LOUISVILLE,KY,40210,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/05/20 00:00:00,98,,FARMBOY MARKET,,8097
113967,1639293,REGULAR,WYANDOTTE TAVERN,,3700 TAYLOR BLVD,,LOUISVILLE,KY,40215,FOOD SERVICE,2021/12/01 00:00:00,95,A,WYANDOTTE TAVERN,,8098
113967,1634920,OTHER,WYANDOTTE TAVERN,,3700 TAYLOR BLVD,,LOUISVILLE,KY,40215,FOOD SERVICE,2021/10/26 00:00:00,99,,WYANDOTTE TAVERN,,8099
113967,1678325,COMPLAINT,WYANDOTTE TAVERN,,3700 TAYLOR BLVD,,LOUISVILLE,KY,40215,FOOD SERVICE,2022/05/19 00:00:00,,,WYANDOTTE TAVERN,,8100
113967,1678327,OFFICE,WYANDOTTE TAVERN,,3700 TAYLOR BLVD,,LOUISVILLE,KY,40215,FOOD SERVICE,2022/05/23 00:00:00,,,WYANDOTTE TAVERN,,8101
113967,1673554,REGULAR,WYANDOTTE TAVERN,,3700 TAYLOR BLVD,,LOUISVILLE,KY,40215,FOOD SERVICE,2022/05/19 00:00:00,95,A,WYANDOTTE TAVERN,,8102
113970,1634970,OTHER,MCDONALD'S #3891,,5015 SHELBYVILLE RD,,LOUISVILLE,KY,40207,FOOD SERVICE,2021/11/01 00:00:00,100,,MCDONALD'S #3891,,8103
113970,1635471,REGULAR,MCDONALD'S #3891,,5015 SHELBYVILLE RD,,LOUISVILLE,KY,40207,FOOD SERVICE,2021/11/01 00:00:00,100,A,MCDONALD'S #3891,,8104
113970,1689136,REGULAR,MCDONALD'S #3891,,5015 SHELBYVILLE RD,,LOUISVILLE,KY,40207,FOOD SERVICE,2022/07/25 00:00:00,98,A,MCDONALD'S #3891,,8105
113985,1639843,REGULAR,SENORA AREPA NULU,,721 E MARKET ST,,LOUISVILLE,KY,40206,FOOD SERVICE,2021/11/18 00:00:00,98,A,SENORA AREPA NULU,,8106
113985,1675119,REGULAR,SENORA AREPA NULU,,721 E MARKET ST,,LOUISVILLE,KY,40206,FOOD SERVICE,2022/05/20 00:00:00,99,A,SENORA AREPA NULU,,8107
113986,1635580,OTHER,PT'S SHOWCLUB,,227 E MARKET ST,,LOUISVILLE,KY,40202,FOOD SERVICE,2021/09/29 00:00:00,99,,PT'S SHOWCLUB,,8108
113987,1635769,REGULAR,EMILIOS TAQUERIA,,9218 BLUE LICK RD,,LOUISVILLE,KY,40229,FOOD SERVICE,2021/11/12 00:00:00,95,A,EMILIOS TAQUERIA,,8109
113987,1649701,FOLLOWUP,EMILIOS TAQUERIA,,9218 BLUE LICK RD,,LOUISVILLE,KY,40229,FOOD SERVICE,2021/11/17 00:00:00,,,EMILIOS TAQUERIA,,8110
113987,1649702,FOLLOWUP,EMILIOS TAQUERIA,,9218 BLUE LICK RD,,LOUISVILLE,KY,40229,FOOD SERVICE,2022/01/13 00:00:00,,,EMILIOS TAQUERIA,,8111
113987,1649699,COMPLAINT,EMILIOS TAQUERIA,,9218 BLUE LICK RD,,LOUISVILLE,KY,40229,FOOD SERVICE,2021/10/06 00:00:00,,,EMILIOS TAQUERIA,,8112
113987,1649700,FOLLOWUP,EMILIOS TAQUERIA,,9218 BLUE LICK RD,,LOUISVILLE,KY,40229,FOOD SERVICE,2021/11/12 00:00:00,,,EMILIOS TAQUERIA,,8113
